"id","Component","Density","Area","Volume","mass","Cx","Cy","Cz","Ixx","Iyy","Izz","Ixy","Ixz","Iyz","POIconv","Ipoint"
"1","mirror_20060293-1/A1",3.55e-06,111749,460416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",FALSE
"2","    20060293-ANVIL_CUTTER/A-1.75 ANVIL CUTTER",2.71e-06,14105,69826.8,0.18944,940.395,542.937,80.7957,109.377,63.9285,109.478,-39.3593,8.37288,4.83408,"+",FALSE
"3","    20060293-BLADE_CUTTER/A-1.75 BLADE CUTTER",7.92e-06,12999.8,64141.3,0.507741,835.493,482.372,125.509,165.162,275.097,311.45,95.2066,-74.4859,-43.0045,"+",FALSE
"4","    20060293-CUTTER_HOUSING/A-1.75 CUTTER HOUSING",2.71e-06,78694.3,316341,0.858231,841.63,485.916,122.455,1979.44,3741.4,4347.75,1526.01,-1184.84,-684.074,"+",FALSE
"5","    NAS1351-5-24S/A6-Screw, Cap, Socket Head, NAS1351",7.92e-06,1487.35,2526.71,0.0200026,926.646,570.781,94.4019,1.47713,3.10304,3.47291,1.40808,-1.03953,-0.600173,"+",FALSE
"6","    NAS1351-5-24S/A6-Screw, Cap, Socket Head, NAS1351",7.92e-06,1487.35,2526.71,0.0200026,957.634,517.108,94.4019,1.47713,3.10304,3.47291,1.40808,-1.03953,-0.600173,"+",FALSE
"7","    NAS1351-5-24S/A6-Screw, Cap, Socket Head, NAS1351",7.92e-06,1487.35,2526.71,0.0200026,918.571,566.119,69.1438,1.47713,3.10304,3.47291,1.40808,-1.03953,-0.600173,"+",FALSE
"8","    NAS1351-5-24S/A6-Screw, Cap, Socket Head, NAS1351",7.92e-06,1487.35,2526.71,0.0200026,949.559,512.446,69.1438,1.47713,3.10304,3.47291,1.40808,-1.03953,-0.600173,"+",FALSE
